week_start,plan_year,plan_week,calendar_year,month,week_of_year,season,sku_id,product_name,region_id,country,region_name,weather_proxy_city,channel_id,base_weekly_units_py2022,structural_growth_rate,plan_year_growth_factor,plan_year_normalization_factor,sku_seasonality_factor,base_portfolio_region_share,product_region_affinity,normalized_product_region_share,regional_season_modifier,channel_mix_share,allocated_structural_units,weather_dgp_available,audit_hidden_weather_z,weather_effect_pct,weather_factor,weather_model_input_allowed,promotion_flag,promotion_uplift_pct,promotion_factor,zero_or_no_order_flag,order_pattern_factor,positive_spike_flag,positive_spike_factor,negative_shock_flag,negative_shock_factor,noise_sd_pct,noise_factor,true_demand_units_continuous,true_demand_units,demand_provenance,weather_dgp_provenance,generator_version,generator_seed,audit_hidden_heating_degree_10,audit_hidden_heating_degree_5,audit_hidden_wet_cold_degree,audit_hidden_cold_run_days,audit_hidden_wet_cold_run_days,audit_hidden_snow_persistence_days,audit_hidden_rain_wind_event_days,weather_cap_type,weather_cap_value,weather_sensitivity
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PNW,Canada,British Columbia / Pacific Coast,Vancouver,ECOM,920,0.055,1.0,0.990436,0.889605,0.09,1.25,0.110892,0.97,0.39,34.0054,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,1.084735,36.8868,37,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PNW,Canada,British Columbia / Pacific Coast,Vancouver,RETAIL,920,0.055,1.0,0.990436,0.889605,0.09,1.25,0.110892,0.97,0.31,27.03,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,1.027827,27.7822,28,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PNW,Canada,British Columbia / Pacific Coast,Vancouver,WHOLESALE,920,0.055,1.0,0.990436,0.889605,0.09,1.25,0.110892,0.97,0.3,26.158,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.25,0,1.0,0,1.0,0.11,0.913806,29.8792,30,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PRAIRIE,Canada,Alberta / Prairies,Calgary,ECOM,920,0.055,1.0,0.990436,0.889605,0.05,0.9,0.044357,0.92,0.39,12.901,1,-0.218218,-0.046075,0.953925,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,1.209675,14.887,15,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PRAIRIE,Canada,Alberta / Prairies,Calgary,RETAIL,920,0.055,1.0,0.990436,0.889605,0.05,0.9,0.044357,0.92,0.31,10.2547,1,-0.218218,-0.046075,0.953925,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,1.108688,10.8454,11,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_PRAIRIE,Canada,Alberta / Prairies,Calgary,WHOLESALE,920,0.055,1.0,0.990436,0.889605,0.05,0.9,0.044357,0.92,0.3,9.9239,1,-0.218218,-0.046075,0.953925,0,0,0.0,1.0,1,0.0,0,1.0,0,1.0,0.11,0.883451,0.0,0,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_ON,Canada,Ontario,Toronto,ECOM,920,0.055,1.0,0.990436,0.889605,0.09,1.0,0.088714,0.95,0.39,26.6434,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,0.847832,22.5891,23,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_ON,Canada,Ontario,Toronto,RETAIL,920,0.055,1.0,0.990436,0.889605,0.09,1.0,0.088714,0.95,0.31,21.1781,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,0.875161,18.5342,19,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_ON,Canada,Ontario,Toronto,WHOLESALE,920,0.055,1.0,0.990436,0.889605,0.09,1.0,0.088714,0.95,0.3,20.4949,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.25,1,2.119956,0,1.0,0.11,0.881361,47.867,48,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
2021-07-05,PY2022,1,2021,7,27,SUMMER,CTS-001,Core Technical Shell,CA_QC,Canada,Quebec,Montreal,ECOM,920,0.055,1.0,0.990436,0.889605,0.06,0.95,0.056185,0.93,0.39,16.5189,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.11,1.115247,18.4227,18,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.215
