forecast_origin,forecast_week_start,horizon_week,sku_id,channel_id,champion_model,champion_family,training_weeks,champion_backtest_wape_pct,champion_backtest_bias_pct,base_forecast_units,iso_week,weather_horizon_mode,weather_data_status,nowcast_available_flag,future_realized_weather_used_flag,analog_week_radius_used,analog_observation_count,mild_positive_analog_count,severe_positive_analog_count,scenario_support_flag,mild_scenario_exposure_share,severe_scenario_exposure_share,scenario_exposure_quantile,sku_mild_policy_cap_pct,sku_severe_policy_cap_pct,mild_scenario_adjustment_pct,normal_scenario_adjustment_pct,severe_scenario_adjustment_pct,recommended_base_adjustment_pct,scenario_width_pp,analog_net_adjustment_median_pct,analog_net_adjustment_min_pct,analog_net_adjustment_max_pct,scenario_method,scenario_provenance,scenario_threshold_provenance,nowcast_governance,mild_scenario_forecast_units,normal_scenario_forecast_units,severe_scenario_forecast_units,operational_forecast_units,scenario_range_units,scenario_range_pct,planner_status,forecast_target,model_selection_status,weather_framework_status,forecast_provenance
2026-06-22,2026-06-29,1,APS-001,ECOM,HW_Damped_Mul,ETS,260,10.55,-3.09,136.169,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2749152121961388,0.1375201202869258,0.75,-4.0,6.0,-1.0996608487845552,0.0,0.8251207217215553,0.0,1.9247815705061104,-0.3799847385487939,-1.808488392688945,1.420576018607136,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,134.671,136.169,137.292,136.169,2.621,1.925,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,APS-001,RETAIL,HW_Damped_Mul,ETS,260,8.83,-0.97,96.43,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.272856760151387,0.135095910446063,0.75,-4.0,6.0,-1.0914270406055482,0.0,0.810575462676378,0.0,1.9020025032819263,-0.3820759290345392,-1.7982486361723968,1.4134016770402718,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,95.377,96.43,97.211,96.43,1.834,1.902,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,APS-001,WHOLESALE,HW_Damped_Add,ETS,260,18.26,-0.35,79.012,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2837693856343823,0.1406683488653746,0.75,-4.0,6.0,-1.1350775425375297,0.0,0.844010093192248,0.0,1.9790876357297773,-0.3821562456799473,-1.85188555812248,1.4268499773519217,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,78.116,79.012,79.679,79.012,1.564,1.979,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,CTS-001,ECOM,HW_Damped_Mul,ETS,260,8.37,-1.12,466.673,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2961906879149319,0.1124657195383551,0.75,-3.0,4.0,-0.8885720637447959,0.0,0.4498628781534204,0.0,1.3384349418982162,-0.3076046550256573,-1.4235317213974017,0.8202790800684194,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,462.527,466.673,468.773,466.673,6.246,1.338,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,CTS-001,RETAIL,HW_Damped_Mul,ETS,260,9.18,0.8,305.563,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2990442528419836,0.1125866978158945,0.75,-3.0,4.0,-0.897132758525951,0.0,0.4503467912635783,0.0,1.347479549789529,-0.3062420424182838,-1.445145755536824,0.8166454464487569,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,302.822,305.563,306.939,305.563,4.117,1.347,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,CTS-001,WHOLESALE,Seasonal_MA_2Y,BASELINE,260,21.73,2.41,267.0,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2925542000335326,0.1129636688567054,0.75,-3.0,4.0,-0.8776626001005978,0.0,0.4518546754268219,0.0,1.3295172755274196,-0.3178006765542003,-1.406042434940043,0.8474684708112009,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,264.657,267.0,268.206,267.0,3.55,1.33,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,IMH-001,ECOM,HW_Damped_Mul,ETS,260,8.68,-1.32,468.52,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.279097662652313,0.1141480132139452,0.75,-4.0,5.0,-1.1163906506092522,0.0,0.5707400660697263,0.0,1.6871307166789786,-0.3887683681402323,-1.7875566493359545,1.1019766325577725,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,463.289,468.52,471.194,468.52,7.905,1.687,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,IMH-001,RETAIL,HW_Damped_Mul,ETS,260,8.48,-1.21,325.222,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2869631711395563,0.1076798419012734,0.75,-4.0,5.0,-1.147852684558225,0.0,0.5383992095063671,0.0,1.686251894064592,-0.3593147226274447,-1.8463035642685268,1.0602682355759616,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,321.489,325.222,326.973,325.222,5.484,1.686,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-06-29,1,IMH-001,WHOLESALE,HW_Add_Add,ETS,260,18.55,1.41,263.528,27,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,3,28,19,6,ADEQUATE,0.2900127629350482,0.0969257939210579,0.75,-4.0,5.0,-1.1600510517401927,0.0,0.4846289696052896,0.0,1.6446800213454824,-0.3978868556905169,-1.8494534916407632,1.0294969248132133,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,260.471,263.528,264.805,263.528,4.334,1.645,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
2026-06-22,2026-07-06,2,APS-001,ECOM,HW_Damped_Mul,ETS,260,10.55,-3.09,136.925,28,NOWCAST_REQUIRED,POINT_IN_TIME_NOWCAST_NOT_SUPPLIED,0,0,2,20,13,4,ADEQUATE,0.265158391467598,0.1088894872091542,0.75,-4.0,6.0,-1.060633565870392,0.0,0.6533369232549253,0.0,1.7139704891253174,-0.287954761024276,-1.808488392688945,0.5674450240216109,CONDITIONAL_P75_SCENARIO_EXPOSURE_X_FROZEN_SKU_POLICY_CAP,HISTORICAL_PUBLIC_WEATHER_DERIVED_OVERLAY,PROJECT_ASSUMPTION,NO_REALIZED_FUTURE_WEATHER_USED,135.472,136.925,137.819,136.925,2.347,1.714,BASE_FORECAST_PENDING_NOWCAST,RECONSTRUCTED_DEMAND_UNITS,FROZEN_STEP4B_CHAMPION,FROZEN_STEP4C,DERIVED_FROM_SYNTHETIC_CASE_STUDY_DEMAND
