fold,sku_id,channel_id,model,wape_pct,bias_pct,mae_units,test_observations
1,CTS-001,RETAIL,SARIMA_011_011,7.9445365233119585,-2.99725631671382,23.876387843522938,13
1,IMH-001,ECOM,SARIMA_011_011,7.416231130384536,1.5402581462722755,32.02670889690676,13
2,CTS-001,RETAIL,SARIMA_011_011,16.61561622781299,7.411421875233165,65.30309868663713,13
2,IMH-001,ECOM,SARIMA_011_011,8.490065360034949,-0.7154189300735868,70.56598584915267,13
3,CTS-001,RETAIL,SARIMA_011_011,12.533849105514284,1.3531297984820934,28.8816620898237,13
3,IMH-001,ECOM,SARIMA_011_011,11.269364531610737,0.7757858501671205,80.01521664459803,13
4,CTS-001,RETAIL,SARIMA_011_011,9.945587906494033,-5.38641534113379,27.94048086242735,13
4,IMH-001,ECOM,SARIMA_011_011,5.312279964576301,2.3782707070070805,23.134501737035517,13
5,CTS-001,RETAIL,SARIMA_011_011,10.345953740170689,-7.4715189765048455,33.52089011815303,13
5,IMH-001,ECOM,SARIMA_011_011,5.888703131740682,-3.453609575873758,28.66439493665772,13
6,CTS-001,RETAIL,SARIMA_011_011,7.15601480937436,-4.71916538146182,32.25590661856128,13
6,IMH-001,ECOM,SARIMA_011_011,11.406205590514528,-6.8752246628819,106.48441200001243,13
7,CTS-001,RETAIL,SARIMA_011_011,11.241033085166052,3.728795801895883,31.76587626754903,13
7,IMH-001,ECOM,SARIMA_011_011,8.504236824156273,-0.8150297271516206,69.85451056436472,13
8,CTS-001,RETAIL,SARIMA_011_011,9.834044994690105,6.060279151980616,29.58517495302122,13
8,IMH-001,ECOM,SARIMA_011_011,15.978034036009978,15.978034036009978,74.78262698607652,13
9,CTS-001,RETAIL,SARIMA_011_011,6.70314890537686,-1.9621794994374189,22.90930045122261,13
9,IMH-001,ECOM,SARIMA_011_011,3.468621703501171,-0.607014688253534,18.047505540370707,13
10,CTS-001,RETAIL,SARIMA_011_011,6.6934019257781,0.33806772038075716,30.282665420883276,13
10,IMH-001,ECOM,SARIMA_011_011,8.273293806062924,-5.077834666670753,80.93632495315985,13
11,CTS-001,RETAIL,SARIMA_011_011,10.165087708491967,5.046241541085235,28.744636774806956,13
11,IMH-001,ECOM,SARIMA_011_011,7.0080645341622825,-1.8317666315939234,61.52328913566469,13
12,CTS-001,RETAIL,SARIMA_011_011,5.528705629043714,-1.5302360765539078,17.580052203947282,13
12,IMH-001,ECOM,SARIMA_011_011,8.653190550552123,6.442878247523328,46.07025887829751,13
