forecast_version,version_name,planning_cycle,forecast_as_of_date,planning_month,sku_id,channel_id,forecast_units,previous_version_units,change_units,change_pct,change_reason,owner_role,approval_status,actual_demand_units,forecast_error_vs_actual,fva_status,provenance
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-09,HIS-001,ECOM,551.5,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-09,HIS-001,RETAIL,428.96,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-09,HIS-001,WHOLESALE,245.12,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-10,HIS-001,ECOM,1170.33,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-10,HIS-001,RETAIL,910.25,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-10,HIS-001,WHOLESALE,520.13,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-11,HIS-001,ECOM,1377.91,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-11,HIS-001,RETAIL,1071.7,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-11,HIS-001,WHOLESALE,612.4,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-12,HIS-001,ECOM,1927.65,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-12,HIS-001,RETAIL,1499.25,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2026-12,HIS-001,WHOLESALE,856.75,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2027-01,HIS-001,ECOM,1393.47,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2027-01,HIS-001,RETAIL,1083.81,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
V0_ANALYTICAL_BASELINE,ANALYTICAL BASELINE,CYCLE_01_2026-08,2026-08-24,2027-01,HIS-001,WHOLESALE,619.3,,0.0,0.0,Step 7C cold-start analytical baseline (BASE/NORMAL); anchor version,DEMAND PLANNING,BASELINE,,,NOT YET MEASURABLE - NO LAUNCH ACTUALS,DERIVED from Step 7C V0 (frozen) + SYNTHETIC COMMERCIAL PLANNING ASSUMPTIONS (Option B)
