method,segment,rows,truth_units,observed_units,predicted_units,WAPE,Bias,MAE_units,lost_units_actual,recovered_units_estimated,lost_demand_recovery_pct
Naive_InStock_GrossUp,ALL_ROWS,21060,809592.0,748551.8781780481,788352.5757727246,0.05952762867676092,-0.02623472592030976,2.2883709380662975,61040.12182195192,39800.697594676436,0.6520415819413203
Naive_InStock_GrossUp,ALL_CENSORED_ROWS,1912,101218.0,40177.87817804808,79978.57577272452,0.4761316362275107,-0.20983841043367266,25.20559202702729,61040.121821951914,39800.697594676436,0.6520415819413203
Naive_InStock_GrossUp,STOCKOUT_ROWS,677,35329.0,1291.741956294568,1291.741956294568,0.9634367812195485,-0.9634367812195487,50.276599769136524,34037.25804370543,0.0,0.0
Naive_InStock_GrossUp,PARTIAL_CONSTRAINT_ROWS,1235,65889.0,38886.13622175351,78686.83381642995,0.2148436599731479,0.19423323796733824,11.462213693903434,27002.863778246487,39800.697594676436,1.4739435758195354
Seasonal_Profile_Imputation,ALL_ROWS,21060,809592.0,748551.8781780481,806952.3951914601,0.03261069740368458,-0.0032604136509993315,1.2536258182546915,61040.12182195192,58400.517013412034,0.9567562329538044
Seasonal_Profile_Imputation,ALL_CENSORED_ROWS,1912,101218.0,40177.87817804808,98578.39519146012,0.2608366074457483,-0.026078413014877587,13.808242537888992,61040.121821951914,58400.517013412034,0.9567562329538045
Seasonal_Profile_Imputation,STOCKOUT_ROWS,677,35329.0,1291.741956294568,34794.49244597161,0.30928270772049105,-0.015129427779682044,16.139806175860013,34037.25804370543,33502.75048967704,0.9842963979841721
Seasonal_Profile_Imputation,PARTIAL_CONSTRAINT_ROWS,1235,65889.0,38886.13622175351,63783.90274548851,0.23486030978443334,-0.031949145601109334,12.530130325009335,27002.863778246487,24897.766523734997,0.9220417037319073
Regression_Imputation,ALL_ROWS,21060,809592.0,748551.8781780481,788013.2963506492,0.03391947824731262,-0.02665380049376821,1.303938187711221,61040.12182195192,39461.41817260113,0.6464832800908595
Regression_Imputation,ALL_CENSORED_ROWS,1912,101218.0,40177.87817804808,79639.29635064921,0.27130488878656234,-0.21319037769320467,14.362415393932148,61040.121821951914,39461.41817260113,0.6464832800908596
Regression_Imputation,STOCKOUT_ROWS,677,35329.0,1291.741956294568,25711.804334255146,0.3436260104860743,-0.27221816823982714,17.931999002160293,34037.25804370543,24420.06237796058,0.7174509282329405
Regression_Imputation,PARTIAL_CONSTRAINT_ROWS,1235,65889.0,38886.13622175351,53927.492016394055,0.2325270516889883,-0.18154028720432766,12.405647699381175,27002.863778246487,15041.355794640549,0.557028169980914
Naive_InStock_GrossUp,CENSORED_APS-001_ECOM,262,10650.0,4053.0669775479582,8262.330594607363,0.4972220518228729,-0.2241943103655058,20.211507068372505,6596.933022452042,4209.263617059405,0.6380637188119952
Naive_InStock_GrossUp,CENSORED_APS-001_RETAIL,271,7963.0,3010.149298129999,6206.037222459812,0.47922935437476955,-0.22064081094313548,14.08156217301214,4952.850701870001,3195.8879243298124,0.6452623179461419
Naive_InStock_GrossUp,CENSORED_APS-001_WHOLESALE,256,7719.0,2887.5950006984745,6052.663426436875,0.5125457568416768,-0.21587466946017944,15.454455847894154,4831.404999301525,3165.0684257383996,0.655103106900782
Naive_InStock_GrossUp,CENSORED_CTS-001_ECOM,127,6263.0,3007.3981065789385,5546.031430029844,0.4191809085561803,-0.11447685932782306,20.671890002262653,3255.6018934210615,2538.6333234509066,0.7797738810082987
