sku_id,channel_id,model,pooled_wape_pct,pooled_bias_pct,pooled_mae_units,mean_fold_wape_pct,median_fold_wape_pct,std_fold_wape_pct,worst_fold_wape_pct,folds_evaluated,model_family,evaluation_scope,forecast_horizon_weeks,complexity_rank,champion_eligible,wape_rank,absolute_bias_pct
APS-001,ECOM,HW_Damped_Mul,10.54513045,-3.094884509,26.94078365,10.08242507,10.43893051,2.29497328,13.60533139,12,ETS,FULL_12_FOLD,13,2,TRUE,1,3.094884509
APS-001,ECOM,HW_Damped_Add,12.06560527,-1.959630178,30.82530491,12.11564661,11.48168507,4.407896166,21.42863815,12,ETS,FULL_12_FOLD,13,2,TRUE,2,1.959630178
APS-001,ECOM,HW_Add_Add,12.61272617,-1.850564316,32.22309375,12.63043516,11.26098293,5.173897591,23.19332001,12,ETS,FULL_12_FOLD,13,2,TRUE,3,1.850564316
APS-001,ECOM,Seasonal_Naive,13.38224627,-6.955461621,34.18906988,12.71580556,12.71975624,3.840568157,20.99974798,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,6.955461621
APS-001,ECOM,Seasonal_MA_2Y,13.68725817,-9.9430811,34.96831672,12.96485133,12.52535179,3.769277533,23.71236572,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,9.9430811
APS-001,RETAIL,HW_Damped_Mul,8.831354862,-0.965221217,16.55152853,8.726580209,8.305996561,2.843467472,15.45587526,12,ETS,FULL_12_FOLD,13,2,TRUE,1,0.965221217
APS-001,RETAIL,HW_Damped_Add,9.490318356,-0.208409049,17.78654323,9.646470157,8.456082945,4.130616883,19.26568151,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.208409049
APS-001,RETAIL,HW_Add_Add,9.547339767,0.907026183,17.89341149,9.844788298,9.397626462,3.305509465,14.95042185,12,ETS,FULL_12_FOLD,13,2,TRUE,3,0.907026183
APS-001,RETAIL,Seasonal_MA_2Y,9.592453854,-5.268658348,17.97796331,9.43749955,8.541259508,2.73123149,16.37688489,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,5.268658348
APS-001,RETAIL,Seasonal_Naive,10.4096093,-3.026019728,19.50945783,10.22858863,9.69091303,1.767147521,14.5445088,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,3.026019728
APS-001,WHOLESALE,HW_Damped_Add,18.26291185,-0.347190144,29.58749361,18.81430495,16.99376571,6.061137929,34.83806089,12,ETS,FULL_12_FOLD,13,2,TRUE,1,0.347190144
APS-001,WHOLESALE,HW_Damped_Mul,18.30234003,-0.384543824,29.65137066,18.80228427,17.18562945,5.968581496,34.4064016,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.384543824
APS-001,WHOLESALE,HW_Add_Add,18.36336126,-0.095785225,29.75023033,18.83184086,17.27005694,6.231319973,35.48507708,12,ETS,FULL_12_FOLD,13,2,TRUE,3,0.095785225
APS-001,WHOLESALE,Seasonal_MA_2Y,19.97086493,0.424313954,32.35452502,20.77262933,19.9788569,6.203356178,37.17976319,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,0.424313954
APS-001,WHOLESALE,Seasonal_Naive,22.0474815,0.510738827,35.71882312,22.76859091,23.08529324,6.275421932,34.16777421,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,0.510738827
CTS-001,ECOM,HW_Damped_Mul,8.371676595,-1.117596581,38.02731923,8.588717507,8.008012489,1.946264889,11.3739553,12,ETS,FULL_12_FOLD,13,2,TRUE,1,1.117596581
CTS-001,ECOM,HW_Add_Add,8.440461618,0.637342939,38.33976681,8.679070215,8.061999083,2.383851001,12.39076553,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.637342939
CTS-001,ECOM,HW_Damped_Add,8.473444179,-1.298524544,38.48958606,8.639966213,8.439673952,1.759111287,11.95883689,12,ETS,FULL_12_FOLD,13,2,TRUE,3,1.298524544
CTS-001,ECOM,Seasonal_Naive,10.88867047,-6.645888924,49.46045675,10.931267,10.14454234,2.979036836,17.43053291,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,6.645888924
CTS-001,ECOM,Seasonal_MA_2Y,11.82324874,-10.187704,53.70566445,11.86132314,11.57541547,2.83979958,17.36457878,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,10.187704
