fold,sku_id,channel_id,model,wape_pct,bias_pct,mae_units
9,APS-001,ECOM,SARIMA_011_011,5.694379764405473,-2.8421096998611324,9.71548793650103
9,APS-001,RETAIL,SARIMA_011_011,11.90835835067759,10.405420897786053,13.886977892020944
9,APS-001,WHOLESALE,SARIMA_011_011,11.946570760657288,3.814087170990086,11.941198806438369
9,CTS-001,ECOM,SARIMA_011_011,6.4187750800536545,-3.4309813513158773,30.65161299820721
9,CTS-001,RETAIL,SARIMA_011_011,6.70314890537686,-1.9621794994374189,22.90930045122261
9,CTS-001,WHOLESALE,SARIMA_011_011,22.410214911434768,16.896607715459165,59.26875832543942
9,IMH-001,ECOM,SARIMA_011_011,3.468621703501171,-0.607014688253534,18.047505540370707
9,IMH-001,RETAIL,SARIMA_011_011,7.116448970519257,-5.416726164123956,27.032926345050377
9,IMH-001,WHOLESALE,SARIMA_011_011,29.129167158775626,15.861103978193286,79.83378324355726
10,APS-001,ECOM,SARIMA_011_011,9.878534302011989,-4.475539659220727,37.331399524065645
10,APS-001,RETAIL,SARIMA_011_011,10.61105093534849,-7.266881898972742,29.270125663515184
10,APS-001,WHOLESALE,SARIMA_011_011,20.95954304484605,7.808493648221571,47.07672825671005
10,CTS-001,ECOM,SARIMA_011_011,6.648373040106602,-3.7489343877898174,43.23221145456883
10,CTS-001,RETAIL,SARIMA_011_011,6.6934019257781,0.33806772038075716,30.282665420883276
10,CTS-001,WHOLESALE,SARIMA_011_011,15.007649407671147,-0.7982182980204191,55.916029198402015
10,IMH-001,ECOM,SARIMA_011_011,8.273293806062924,-5.077834666670753,80.93632495315985
10,IMH-001,RETAIL,SARIMA_011_011,7.019959533389375,0.7565799761548068,49.68583262802053
10,IMH-001,WHOLESALE,SARIMA_011_011,20.35134038938115,-5.94094742138155,120.2614132077468
11,APS-001,ECOM,SARIMA_011_011,11.24373303157633,7.690298775427773,39.53130152170076
11,APS-001,RETAIL,SARIMA_011_011,7.172390565485452,5.671274474055037,18.50940258858088
11,APS-001,WHOLESALE,SARIMA_011_011,20.21793720056841,-4.140708952718213,42.22994473757528
11,CTS-001,ECOM,SARIMA_011_011,12.177687665348769,6.816185168280844,49.898493804426344
11,CTS-001,RETAIL,SARIMA_011_011,10.165087708491967,5.046241541085235,28.744636774806956
11,CTS-001,WHOLESALE,SARIMA_011_011,22.150284206721754,-0.5061473975717589,48.80839095404799
11,IMH-001,ECOM,SARIMA_011_011,7.0080645341622825,-1.8317666315939234,61.52328913566469
11,IMH-001,RETAIL,SARIMA_011_011,7.5750765707437715,-1.563291648341805,49.709894603186974
11,IMH-001,WHOLESALE,SARIMA_011_011,15.93880750604428,2.5731591106349714,78.5870048690583
12,APS-001,ECOM,SARIMA_011_011,18.17431011660477,14.815172797901868,32.12566903623502
12,APS-001,RETAIL,SARIMA_011_011,8.908360758590607,5.275251350460186,10.953709858153733
12,APS-001,WHOLESALE,SARIMA_011_011,16.159478454293954,1.7017073591292315,16.385269780692887
12,CTS-001,ECOM,SARIMA_011_011,9.103627137084684,4.313314033652333,39.98158681325744
12,CTS-001,RETAIL,SARIMA_011_011,5.528705629043714,-1.5302360765539078,17.580052203947282
12,CTS-001,WHOLESALE,SARIMA_011_011,15.838206696960421,-1.5907314963432955,41.203767210066836
12,IMH-001,ECOM,SARIMA_011_011,8.653190550552123,6.442878247523328,46.07025887829751
12,IMH-001,RETAIL,SARIMA_011_011,12.250812976561564,8.384035495085275,46.445113626451004
12,IMH-001,WHOLESALE,SARIMA_011_011,16.024394911663123,-0.28300082585478237,51.0420863524397
