fold,sku_id,channel_id,model,wape_pct,bias_pct,mae_units,actual_units_total,forecast_units_total,test_observations
1,APS-001,ECOM,Seasonal_MA_2Y,8.92126789366053,-6.978527607361963,13.423076923076923,1956.0,1819.5,13
1,APS-001,ECOM,Seasonal_Naive,6.9018404907975475,-4.345603271983638,10.384615384615387,1956.0,1871.0,13
1,APS-001,RETAIL,Seasonal_MA_2Y,7.853675135080423,-4.446876959685217,8.696515778208163,1439.5133892375902,1375.5,13
1,APS-001,RETAIL,Seasonal_Naive,9.409095935002025,-2.7449129360663784,10.418861214658769,1439.5133892375902,1400.0,13
1,APS-001,WHOLESALE,Seasonal_MA_2Y,37.17976318622174,18.019375672766415,33.21153846153846,1161.25,1370.5,13
1,APS-001,WHOLESALE,Seasonal_Naive,31.71151776103337,17.029063509149623,28.326923076923077,1161.25,1359.0,13
1,CTS-001,ECOM,Seasonal_MA_2Y,10.64421596384046,-7.008394178711567,41.21153846153846,5033.25,4680.5,13
1,CTS-001,ECOM,Seasonal_Naive,10.574678388715045,-2.4685839169522676,40.94230769230769,5033.25,4909.0,13
1,CTS-001,RETAIL,Seasonal_MA_2Y,8.395188123880216,-6.936268236498592,25.23076923076923,3907.0,3636.0,13
1,CTS-001,RETAIL,Seasonal_Naive,8.523163552597902,-4.83747120552854,25.61538461538462,3907.0,3718.0,13
1,CTS-001,WHOLESALE,Seasonal_MA_2Y,17.81487503857065,-4.050845198269182,51.87056151492124,3785.136287703531,3631.806276145148,13
1,CTS-001,WHOLESALE,Seasonal_Naive,16.853946059978526,1.7686239843913918,49.072679094325125,3785.136287703531,3852.0811159297573,13
1,IMH-001,ECOM,Seasonal_MA_2Y,12.504453152832204,-12.112575703598147,54.0,5614.0,4934.0,13
1,IMH-001,ECOM,Seasonal_Naive,9.885999287495546,-7.463484146775919,42.69230769230769,5614.0,5195.0,13
1,IMH-001,RETAIL,Seasonal_MA_2Y,9.915356711003628,-5.804111245465539,31.538461538461544,4135.0,3895.0,13
1,IMH-001,RETAIL,Seasonal_Naive,7.908101571946796,-3.022974607013302,25.153846153846153,4135.0,4010.0,13
1,IMH-001,WHOLESALE,Seasonal_MA_2Y,17.00730600114837,-7.346063645038317,50.75920478900395,3879.9187961485236,3594.8974920076485,13
1,IMH-001,WHOLESALE,Seasonal_Naive,17.027627519381106,-6.36930371786489,50.81985543558662,3879.9187961485236,3632.794984015297,13
2,APS-001,ECOM,Seasonal_MA_2Y,13.642613432401914,-5.778808311581014,45.37225860034731,4323.507110475005,4073.659922223079,13
2,APS-001,ECOM,Seasonal_Naive,14.204687289981111,-4.820048914918821,47.241589615620974,4323.507110475005,4115.111952910116,13
2,APS-001,RETAIL,Seasonal_MA_2Y,8.301400635760205,-3.1554842647194716,20.713443409521933,3243.72688584408,3141.3715943707953,13
2,APS-001,RETAIL,Seasonal_Naive,9.613567011071062,2.312657801891032,23.98752752513455,3243.72688584408,3318.7431887415896,13
2,APS-001,WHOLESALE,Seasonal_MA_2Y,15.938921742368251,-8.646462105550672,41.26707041377329,3365.7980386027184,3074.775586645567,13
